Data	Nr Castigatori	Valoare Castig
05.12.2010	1	50.231,20
02.12.2010	1	867.973,92
07.10.2010	1	33.573,44
03.10.2010	1	82.612,80
26.09.2010	1	259.678,72
09.09.2010	1	905.004,80
18.07.2010	1	124.727,68
08.07.2010	1	39.538,24
04.07.2010	2	114.637,24
17.06.2010	1	219.049,44
30.05.2010	1	212.094,48
13.05.2010	1	42.889,92
09.05.2010	1	33.604,32
06.05.2010	2	61.667,88
25.04.2010	1	120.254,40
15.04.2010	1	68.827,68
08.04.2010	1	37.782,72
04.04.2010	1	24.020,16
01.04.2010	1	50.757,36
25.03.2010	1	52.871,76
18.03.2010	1	119.288,88
04.03.2010	1	192.534,48
11.02.2010	1	641.710,32
17.12.2009	1	298.565,52
19.11.2009	1	89.612,00
12.11.2009	1	187.582,00
29.10.2009	1	373.389,60
17.09.2009	2	26.356,20
10.09.2009	1	50.579,28
03.09.2009	1	50.312,40
27.08.2009	1	54.080,40
20.08.2009	2	167.808,00
16.07.2009	1	53.384,00
09.07.2009	1	115.997,64
25.06.2009	1	67.449,88
18.06.2009	1	149.477,40
04.06.2009	1	1.000.134,08
09.04.2009	1	248.029,16
19.03.2009	1	246.290,57
26.02.2009	1	253.880,93
05.02.2009	1	66.808,23
29.01.2009	1	149.707,76
15.01.2009	1	144.936,23
24.12.2008	2	27.268,35
18.12.2008	1	62.691,53
11.12.2008	1	789.569,78
30.10.2008	1	62.616,94
23.10.2008	1	224.784,46
02.10.2008	1	135.552,93
18.09.2008	1	62.317,41
11.09.2008	1	58.913,88
04.09.2008	1	897.312,89
26.06.2008	1	625.722,18
22.05.2008	1	373.263,67
01.05.2008	1	143.183,76
17.04.2008	1	144.253,16
03.04.2008	1	328.388,23
06.03.2008	2	130.773,40
14.02.2008	1	185.845,87
31.01.2008	1	318.281,17
10.01.2008	1	128.513,87
20.12.2007	3	70.091,13
29.11.2007	2	28.695,88
22.11.2007	1	60.176,70
15.11.2007	1	62.991,53
08.11.2007	1	261.428,92
11.10.2007	1	127.618,58
27.09.2007	3	72.292,15
06.09.2007	1	629.852,97
19.07.2007	1	115.869,60
05.07.2007	1	236.988,00
07.06.2007	1	303.432,80
10.05.2007	2	81.529,40
26.04.2007	1	124.160,40
12.04.2007	1	117.370,60
29.03.2007	1	57.019,40
22.03.2007	2	106.849,20
01.03.2007	2	106.911,60
08.02.2007	1	297.561,40
11.01.2007	1	129.465,60
28.12.2006	1	492.780,39
09.11.2006	2	55.871,00
26.10.2006	1	252.923,19
28.09.2006	1	177.549,40
07.09.2006	1	348.279,18
03.08.2006	1	430.474,18
22.06.2006	1	381.880,18
18.05.2006	1	58.429,60
11.05.2006	1	57.443,80
04.05.2006	2	57.701,50
20.04.2006	1	193.209,99
30.03.2006	4	35.986,55
16.03.2006	1	228.057,20
23.02.2006	1	162.327,59
09.02.2006	2	78.686,90
26.01.2006	1	168.354,60
12.01.2006	2	34.270,80
05.01.2006	4	33.823,05
22.12.2005	1	284.409,80
24.11.2005	3	135.363,19
13.10.2005	1	108.540,40
29.09.2005	2	58.653,10
15.09.2005	1	180.833,40
25.08.2005	1	127.534,20
11.08.2005	1	178.599,80
