data,nr_super_noroc
2025-05-15,475195
2025-05-18,938139
2025-05-22,113904
2025-05-25,849540
2025-05-29,450696
2025-06-01,725425
2025-06-05,924418
2025-06-08,804163
2025-06-12,030837
2025-06-15,131706
2025-06-19,628237
2025-06-22,946289
2025-06-26,998091
2025-06-29,472931
2025-07-03,472784
2025-07-06,282269
2025-07-10,166533
2025-07-13,980911
2025-07-17,130456
2025-07-20,233902
2025-07-24,052326
2025-07-27,611374
2025-07-31,398583
2025-08-03,202727
2025-08-07,422545
2025-08-10,013033
2025-08-14,029277
2025-08-17,299916
2025-08-21,669500
2025-08-24,995521
2025-08-28,099293
2025-08-31,000118
2025-09-04,093386
2025-09-07,757373
2025-09-11,135582
2025-09-14,501562
2025-09-18,227859
2025-09-21,006549
2025-09-25,453316
2025-09-28,943012
2025-10-02,295471
2025-10-05,842098
2025-10-09,766014
2025-10-12,201852
2025-10-16,137272
2025-10-19,667110
2025-10-23,036707
2025-10-26,468803
2025-10-30,653755
2025-11-02,904540
2025-11-06,106958
2025-11-09,370610
2025-11-13,588524
2025-11-16,818238
2025-11-20,207016
2025-11-23,000066
2025-11-27,512743
2025-11-30,417214
2025-12-04,063984
2025-12-07,043144
2025-12-11,440943
2025-12-14,949755
2025-12-14,949755
