Data	Nr Castigatori	Valoare Castig
11.05.2025	1	10.046.415,60
30.03.2025	1	31.567.186,80
12.12.2024	1	519.397,36
08.12.2024	1	1.622.010,08
01.12.2024	1	4.511.066,80
14.11.2024	1	47.703.321,40
28.04.2024	1	3.610.326,64
11.04.2024	1	9.646.132,64
25.02.2024	1	36.450.832,24
17.09.2023	1	13.829.095,20
25.06.2023	1	50.096.011,76
03.11.2022	1	19.198.843,92
02.06.2022	1	8.496.320,80
27.03.2022	1	14.823.497,68
12.12.2021	1	5.606.404,00
21.10.2021	1	7.646.117,84
12.08.2021	1	4.434.971,20
27.06.2021	1	2.797.744,40
03.06.2021	1	14.307.599,36
07.02.2021	1	8.420.611,68
06.12.2020	1	7.130.807,28
13.09.2020	1	3.375.310,00
16.08.2020	1	7.701.195,92
01.03.2020	1	8.199.947,52
31.12.2019	1	3.737.765,00
22.12.2019	1	22.954.442,36
18.07.2019	1	4.651.706,40
02.06.2019	1	2.898.134,80
12.05.2019	1	22.265.937,00
02.12.2018	1	17.347.829,07
19.07.2018	1	9.720.865,12
15.04.2018	1	1.375.546,09
08.04.2018	1	6.613.179,07
11.02.2018	1	9.325.973,81
03.12.2017	1	6.372.850,87
08.10.2017	1	4.604.988,60
31.08.2017	1	11.906.912,95
11.05.2017	1	10.286.597,39
29.01.2017	1	715.075,24
22.01.2017	1	16.693.565,48
28.07.2016	1	17.723.482,04
21.01.2016	1	1.822.305,20
30.12.2015	2	16.161.917,74
05.04.2015	1	13.435.030,72
21.12.2014	1	43.810.458,68
02.02.2014	1	3.453.678,77
30.12.2013	1	1.899.025,00
22.12.2013	1	3.014.025,73
28.11.2013	1	8.782.582,73
15.09.2013	1	11.371.103,71
14.07.2013	1	48.952.706,17
15.11.2012	1	2.862.591,80
14.10.2012	1	5.078.377,31
19.08.2012	1	20.283.270,27
01.04.2012	1	12.122.935,78
05.01.2012	1	9.804.041,01
13.11.2011	1	31.510.612,49
24.04.2011	1	41.997.089,75
24.10.2010	1	1.739.344,02
10.10.2010	3	249.352,82
03.10.2010	1	3.034.602,94
12.09.2010	1	1.482.576,36
29.08.2010	1	26.290.040,30
07.03.2010	1	7.156.255,76
17.01.2010	1	3.723.299,12
24.12.2009	1	40.176.609,00
07.06.2009	1	46.171.670,14
14.12.2008	1	1.131.529,41
07.12.2008	1	3.414.107,99
09.11.2008	2	9.440.935,54
10.08.2008	1	13.319.796,36
25.05.2008	2	14.612.299,33
27.01.2008	1	46.931.797,23
26.08.2007	1	34.227.789,05
06.05.2007	1	5.668.783,19
08.04.2007	1	9.880.604,19
25.03.2007	1	11.552.266,99
14.01.2007	1	10.470.492,40
01.10.2006	1	7.114.640,80
09.07.2006	1	1.567.314,40
18.06.2006	1	14.712.583,31
05.02.2006	1	4.893.062,24
01.01.2006	1	17.730.355,67
02.10.2005	2	4.225.325,70
14.08.2005	1	8.514.148,00
05.06.2005	1	17.381.610,04
27.03.2005	1	9.737.271,20
06.02.2005	1	6.702.176,70
