data,nr_castigatori,valoare_castig
2005-08-25,1,127.534
2005-09-15,1,180.833
2005-09-29,2,58.653
2005-10-13,1,108.540
2005-11-24,3,135.363
2005-12-22,1,284.409
2006-01-05,4,33.823
2006-01-12,2,34.270
2006-01-26,1,168.354
2006-02-09,2,78.686
2006-02-23,1,162.327
2006-03-16,1,228.057
2006-03-30,4,35.986
2006-04-20,1,193.209
2006-05-04,2,57.701
2006-05-11,1,57.443
2006-05-18,1,58.429
2006-06-22,1,381.880
2006-08-03,1,430.474
2006-09-07,1,348.279
2006-09-28,1,177.549
2006-10-26,1,252.923
2006-11-09,2,55.871
2006-12-28,1,492.780
2007-01-11,1,129.465
2007-02-08,1,297.561
2007-03-01,2,106.911
2007-03-22,2,106.849
2007-03-29,1,57.019
2007-04-12,1,117.370
2007-04-26,1,124.160
2007-05-10,2,81.529
2007-06-07,1,303.432
2007-07-05,1,236.988
2007-07-19,1,115.869
2007-09-06,1,629.852
2007-09-27,3,72.292
2007-10-11,1,127.618
2007-11-08,1,261.428
2007-11-15,1,62.991
2007-11-22,1,60.176
2007-11-29,2,28.695
2007-12-20,3,70.091
2008-01-10,1,128.513
2008-01-31,1,318.281
2008-02-14,1,185.845
2008-03-06,2,130.773
2008-04-03,1,328.388
2008-04-17,1,144.253
2008-05-01,1,143.183
2008-05-22,1,373.263
2008-06-26,1,625.722
2008-09-04,1,897.312
2008-09-11,1,58.913
2008-09-18,1,62.317
2008-10-02,1,135.552
2008-10-23,1,224.784
2008-10-30,1,62.616
2008-12-11,1,789.569
2008-12-18,1,62.691
2008-12-24,2,27.268
2009-01-15,1,144.936
2009-01-29,1,149.707
2009-02-05,1,66.808
2009-02-26,1,253.880
2009-03-19,1,246.290
2009-04-09,1,248.029
2009-06-04,1,1.000.134
2009-06-18,1,149.477
2009-06-25,1,67.449
2009-07-09,1,115.997
2009-07-16,1,53.384
2009-08-20,2,167.808
2009-08-27,1,54.080
2009-09-03,1,50.312
2009-09-10,1,50.579
2009-09-17,2,26.356
2009-10-29,1,373.389
2009-11-12,1,187.582
2009-11-19,1,89.612
2009-12-17,1,298.565
2010-02-11,1,641.710
2010-03-04,1,192.534
2010-03-18,1,119.288
2010-03-25,1,52.871
2010-04-01,1,50.757
2010-04-04,1,24.020
2010-04-08,1,37.782
2010-04-15,1,68.827
2010-04-25,1,120.254
2010-05-06,2,61.667
2010-05-09,1,33.604
2010-05-13,1,42.889
2010-05-30,1,212.094
2010-06-17,1,219.049
2010-07-04,2,114.637
2010-07-08,1,39.538
2010-07-18,1,124.727
2010-09-09,1,905.004
2010-09-26,1,259.678
2010-10-03,1,82.612
2010-10-07,1,33.573
2010-12-02,1,867.973
2010-12-05,1,50.231
2011-01-23,1,747.650
2011-01-27,1,40.379
2011-02-03,1,84.645
2011-02-17,1,189.570
2011-04-03,1,739.121
2011-04-07,1,39.919
2011-04-21,1,217.496
2011-04-24,2,24.237
2011-04-28,1,34.143
2011-05-12,1,295.052
2011-05-15,1,68.722
2011-06-19,1,556.110
2011-07-21,1,365.349
2011-07-31,1,116.097
2011-08-21,1,231.617
2011-09-11,1,226.923
2011-09-15,1,29.676
2011-09-29,1,146.495
2011-10-02,1,35.008
2011-10-09,1,65.288
2011-10-13,1,30.600
2011-10-30,1,225.242
2011-11-03,1,29.703
2011-11-24,1,265.215
2011-11-27,1,40.756
2011-12-30,2,321
2012-01-05,1,42.613
2012-02-09,1,436.784
2012-02-12,1,40.619
2012-03-01,1,199.129
2012-04-05,1,427.838
2012-04-26,1,308.626
2012-05-03,2,29.603
2012-05-10,1,64.934
2012-06-03,1,261.583
2012-06-10,1,62.110
2012-06-21,1,97.516
2012-07-19,1,286.896
2012-09-02,1,568.071
2012-10-28,2,393.924
2012-11-08,1,98.962
2012-11-18,1,121.703
2012-12-13,1,273.722
2012-12-23,1,117.584
2013-01-10,1,320.388
2013-01-13,1,40.362
2013-02-03,1,282.915
2013-02-14,1,123.005
2013-03-03,2,113.276
2013-05-09,1,1.057.070
2013-06-02,1,313.593
2013-07-04,1,433.412
2013-07-11,1,90.877
2013-07-25,1,187.952
2013-08-01,1,73.566
2013-08-29,1,318.768
2013-10-20,2,354.332
2013-10-27,1,61.521
2013-11-17,1,206.119
2014-01-05,1,721.232
2014-02-02,2,150.046
2014-02-09,2,32.059
2014-03-23,1,467.552
2014-03-30,1,62.215
2014-05-08,1,524.043
2014-06-22,1,495.691
2014-08-03,1,421.418
2014-08-24,1,203.456
2014-09-07,1,133.493
2014-09-21,1,257.588
2014-10-02,1,88.773
2014-10-12,1,98.255
2014-10-26,1,136.279
2014-11-06,1,199.339
2014-11-16,1,114.565
2014-11-27,1,96.957
2014-12-14,1,188.558
2014-12-30,2,145.651
2015-01-11,1,44.014
2015-02-12,1,366.472
2015-02-26,2,72.495
2015-04-02,1,488.195
2015-04-09,1,72.304
2015-04-12,1,31.124
2015-04-30,1,311.503
2015-05-03,1,29.478
2015-06-11,1,360.851
2015-07-02,1,190.616
2015-08-13,1,391.458
2015-08-27,1,122.211
2015-10-08,1,520.105
2015-11-08,1,339.400
2015-11-12,1,20.126
2015-11-19,1,54.615
2015-12-30,2,181.556
2016-01-24,1,415.897
2016-01-31,2,32.597
2016-03-06,2,177.304
2016-03-24,1,265.445
2016-04-03,1,91.106
2016-06-05,1,816.190
2016-06-23,1,142.968
2016-07-24,1,283.389
2016-09-22,1,719.190
2016-10-23,1,311.142
2016-11-17,1,204.410
2016-11-27,1,90.553
2017-01-12,1,615.423
2017-01-19,1,57.994
2017-02-09,1,197.914
2017-03-05,1,289.852
2017-03-12,1,60.561
2017-05-14,1,752.832
2017-07-06,1,504.661
2017-07-09,1,30.513
2017-08-24,1,496.474
2017-09-10,1,150.813
2017-09-17,3,11.116
2017-09-28,1,164.020
2017-11-23,1,633.292
2017-12-14,1,241.181
2017-12-31,1,351.001
2018-02-15,1,583.157
2018-03-15,1,381.906
2018-03-18,1,40.481
2018-05-03,1,570.531
2018-05-06,2,18.475
2018-05-20,1,128.558
2018-06-14,2,110.673
2018-07-22,1,410.219
2018-08-05,1,126.811
2018-09-23,1,599.762
2018-10-28,1,435.205
2019-01-13,1,1.490.953
2019-01-27,1,166.348
2019-02-14,2,102.555
2019-02-24,1,130.098
2019-04-07,1,542.937
2019-04-27,1,312.493
2019-05-23,3,92.268
2019-06-06,2,81.063
2019-06-16,1,127.864
2019-08-15,1,842.770
2019-08-18,3,14.901
2019-10-20,1,1.024.963
2019-11-14,1,349.914
2019-12-19,1,580.611
2020-01-05,1,456.677
2020-01-23,1,212.993
2020-07-16,1,1.294.443
2020-09-24,1,895.746
2020-12-13,1,845.724
2020-12-31,2,126.659
2021-02-14,1,841.393
2021-02-18,1,37.309
2021-02-21,1,95.643
2021-03-07,1,257.445
2021-05-23,1,1.188.462
2021-06-27,2,225.133
2021-08-12,1,613.029
2021-09-12,1,376.670
2021-10-03,1,332.832
2021-12-31,1,1.530.632
2022-01-13,1,131.161
2022-01-20,1,94.292
2022-02-03,1,188.960
2022-03-06,1,460.745
2022-03-13,1,178.902
2022-04-23,1,494.664
2022-04-28,1,141.041
2022-05-05,1,69.101
2022-05-19,1,142.987
2022-05-29,1,112.738
2022-07-17,1,595.631
2022-09-25,1,914.852
2022-10-27,1,334.584
2023-02-26,2,1.193.209
2023-04-23,2,495.220
2023-05-21,1,395.070
2023-07-13,1,731.601
2023-08-24,1,584.815
2023-10-26,1,1.056.551
2023-12-14,1,768.931
2023-12-17,1,59.133
2024-01-14,1,707.116
2024-01-28,1,239.171
2024-02-11,1,240.521
2024-04-04,1,1.289.971
2024-04-11,1,120.574
2024-05-04,1,530.851
2024-05-26,2,174.379
2024-06-06,1,139.942
2024-07-21,1,779.948
2024-07-28,1,97.808
2024-09-26,1,1.189.257
2024-12-08,2,875.871
2024-12-15,1,131.262
2024-12-19,1,57.368
